Sugar,Time,No ORF 1A,No ORF 1B,No ORF 2A,No ORF 2B,IO 1A,IO 1B,IO 2A,IO 2B,Scer 1A,Scer 1B,Scer 2A,Scer 2B,Spar 1A,Spar 1B,Spar 2A,Spar 2B,
Glucose,0,0.087,0.086,0.083,0.084,0.081,0.07,0.087,0.087,0.085,0.084,0.095,0.098,0.079,0.081,0.079,0.083,
Glucose,45,0.098,0.099,0.098,0.101,0.093,0.094,0.099,0.098,0.1,0.102,0.107,0.113,0.093,0.099,0.093,0.093,
Glucose,90,0.123,0.126,0.127,0.127,0.123,0.124,0.128,0.124,0.126,0.134,0.134,0.14,0.12,0.123,0.116,0.124,
Glucose,135,0.156,0.161,0.159,0.162,0.157,0.153,0.162,0.158,0.159,0.16,0.17,0.184,0.155,0.16,0.145,0.155,
Glucose,180,0.204,0.213,0.216,0.218,0.201,0.208,0.218,0.211,0.213,0.215,0.223,0.242,0.208,0.214,0.201,0.205,
Glucose,225,0.292,0.291,0.301,0.291,0.286,0.282,0.285,0.292,0.286,0.296,0.31,0.327,0.286,0.291,0.264,0.282,
Glucose,270,0.389,0.378,0.384,0.386,0.371,0.365,0.396,0.38,0.377,0.38,0.403,0.417,0.372,0.378,0.345,0.365,
Glucose,315,0.483,0.502,0.505,0.501,0.492,0.477,0.499,0.483,0.488,0.494,0.528,0.567,0.501,0.502,0.46,0.497,
Glucose,360,0.628,0.645,0.646,0.652,0.63,0.631,0.649,0.627,0.618,0.631,0.662,0.691,0.617,0.623,0.584,0.617,
Glucose,405,0.758,0.757,0.758,0.759,0.739,0.759,0.762,0.758,0.746,0.777,0.822,0.842,0.764,0.733,0.713,0.739,
Glucose,450,0.922,0.935,0.932,0.927,0.924,0.907,0.943,0.912,0.905,0.931,0.952,0.98,0.919,0.925,0.885,0.901,
Glucose,495,1.07,1.087,1.075,1.081,1.041,1.051,1.071,1.054,1.062,1.085,1.078,1.127,1.049,1.078,1.024,1.056,
Galactose,0,0.098,0.101,0.104,0.097,0.092,0.092,0.086,0.089,0.12,0.106,0.098,0.094,0.087,0.089,0.088,0.09,
Galactose,45,0.117,0.122,0.135,0.129,0.115,0.112,0.104,0.104,0.121,0.121,0.12,0.114,0.121,0.116,0.105,0.111,
Galactose,90,0.144,0.155,0.169,0.159,0.138,0.144,0.126,0.121,0.159,0.152,0.14,0.136,0.149,0.143,0.127,0.13,
Galactose,135,0.176,0.181,0.21,0.207,0.164,0.163,0.144,0.138,0.185,0.174,0.173,0.161,0.178,0.177,0.156,0.165,
Galactose,180,0.213,0.222,0.263,0.246,0.194,0.196,0.164,0.157,0.211,0.211,0.201,0.19,0.214,0.204,0.184,0.191,
Galactose,225,0.263,0.282,0.325,0.312,0.232,0.238,0.194,0.188,0.251,0.258,0.24,0.218,0.267,0.27,0.209,0.231,
Galactose,270,0.322,0.34,0.388,0.378,0.266,0.275,0.232,0.224,0.302,0.308,0.277,0.263,0.319,0.32,0.262,0.283,
Galactose,315,0.403,0.403,0.469,0.464,0.321,0.318,0.253,0.253,0.367,0.36,0.342,0.319,0.393,0.395,0.322,0.335,
Galactose,360,0.468,0.492,0.563,0.526,0.371,0.387,0.306,0.291,0.412,0.404,0.397,0.384,0.449,0.434,0.36,0.381,
Galactose,405,0.55,0.558,0.65,0.627,0.419,0.432,0.348,0.331,0.493,0.496,0.451,0.441,0.518,0.515,0.434,0.466,
Galactose,450,0.637,0.668,0.746,0.756,0.486,0.48,0.378,0.373,0.568,0.574,0.538,0.508,0.599,0.615,0.526,0.552,
Galactose,495,0.744,0.745,0.859,0.823,0.561,0.549,0.438,0.431,0.633,0.66,0.598,0.569,0.681,0.702,0.593,0.595,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,